datetime,timestamp,tag_name,value,quality
2025-06-27 04:30:03,1814265003,rate.SN-5-FIT-1-SQ-AFR,3781.0,GOOD
2025-06-27 04:30:08,1814265008,rate.SN-5-FIT-1-SQ-AFR,3784.0,GOOD
2025-06-27 04:30:13,1814265013,rate.SN-5-FIT-1-SQ-AFR,3788.0,GOOD
2025-06-27 04:30:18,1814265018,rate.SN-5-FIT-1-SQ-AFR,3792.0,GOOD
2025-06-27 04:30:23,1814265023,rate.SN-5-FIT-1-SQ-AFR,3795.0,GOOD
2025-06-27 04:30:28,1814265028,rate.SN-5-FIT-1-SQ-AFR,3795.0,GOOD
2025-06-27 04:30:33,1814265033,rate.SN-5-FIT-1-SQ-AFR,3794.0,GOOD
2025-06-27 04:30:38,1814265038,rate.SN-5-FIT-1-SQ-AFR,3793.0,GOOD
2025-06-27 04:30:43,1814265043,rate.SN-5-FIT-1-SQ-AFR,3792.0,GOOD
2025-06-27 04:30:48,1814265048,rate.SN-5-FIT-1-SQ-AFR,3790.0,GOOD
2025-06-27 04:30:53,1814265053,rate.SN-5-FIT-1-SQ-AFR,3789.0,GOOD
2025-06-27 04:30:58,1814265058,rate.SN-5-FIT-1-SQ-AFR,3787.0,GOOD
2025-06-27 04:31:03,1814265063,rate.SN-5-FIT-1-SQ-AFR,3787.0,GOOD
2025-06-27 04:31:08,1814265068,rate.SN-5-FIT-1-SQ-AFR,3788.0,GOOD
2025-06-27 04:31:13,1814265073,rate.SN-5-FIT-1-SQ-AFR,3787.0,GOOD
2025-06-27 04:31:18,1814265078,rate.SN-5-FIT-1-SQ-AFR,3785.0,GOOD
2025-06-27 04:31:23,1814265083,rate.SN-5-FIT-1-SQ-AFR,3785.0,GOOD
2025-06-27 04:31:28,1814265088,rate.SN-5-FIT-1-SQ-AFR,3783.0,GOOD
2025-06-27 04:31:33,1814265093,rate.SN-5-FIT-1-SQ-AFR,3783.0,GOOD
2025-06-27 04:31:38,1814265098,rate.SN-5-FIT-1-SQ-AFR,3782.0,GOOD
2025-06-27 04:31:43,1814265103,rate.SN-5-FIT-1-SQ-AFR,3780.0,GOOD
2025-06-27 04:31:48,1814265108,rate.SN-5-FIT-1-SQ-AFR,3779.0,GOOD
2025-06-27 04:31:53,1814265113,rate.SN-5-FIT-1-SQ-AFR,3776.0,GOOD
2025-06-27 04:31:58,1814265118,rate.SN-5-FIT-1-SQ-AFR,3775.0,GOOD
2025-06-27 04:32:03,1814265123,rate.SN-5-FIT-1-SQ-AFR,3775.0,GOOD
2025-06-27 04:32:08,1814265128,rate.SN-5-FIT-1-SQ-AFR,3774.0,GOOD
2025-06-27 04:32:13,1814265133,rate.SN-5-FIT-1-SQ-AFR,3774.0,GOOD
2025-06-27 04:32:18,1814265138,rate.SN-5-FIT-1-SQ-AFR,3774.0,GOOD
2025-06-27 04:32:23,1814265143,rate.SN-5-FIT-1-SQ-AFR,3772.0,GOOD
